geoName,depression symptoms,signs of depression,am i depressed,depression test,depression quiz,clinical depression,severe depression,major depression,chronic depression,depression diagnosis,depression screening,depression assessment,depression scale,depression severity,depression questionnaire,depression evaluation,always tired,depression nutrition,sleeping too much,no motivation,feeling hopeless,feeling worthless,feeling empty,emotional numbness,can't feel anything,depression habits,no energy to do anything,can't get out of bed,crying for no reason,depression wellness,constant fatigue,can't concentrate,depression routine,depression meditation,depression mindfulness,depression yoga,depression headaches,depression exercise,depression weight gain,depression weight loss,seasonal depression,work stress depression,depression improvement,depression in men,depression chest pain,depression nausea,depression dizziness,depression exhaustion,depression insomnia,depression self care,depression physical symptoms,LGBTQ+ depression support,social media and depression,depression fatigue,depression physical pain,depression reading,depression self help,depression coping,depression management,depression exercises,depression activities,depression diet
Massachusetts,86,70,72,72,66,75,73,69,71,68,72,53,80,33,75,25,80,66,65,58,60,50,62,40,50,50,50,60,64,66,71,40,50,100,40,75,40,53,80,58,68,50,50,58,33,66,50,20,66,50,50,64,50,66,50,60,50,50,80,66,57,66
Michigan,93,88,69,87,77,68,76,81,76,68,77,53,71,33,50,25,90,66,69,77,60,50,75,60,66,50,50,60,78,66,71,40,100,60,20,25,60,61,70,58,73,50,50,82,33,66,50,20,66,50,66,60,66,58,50,60,50,57,80,66,71,66
Minnesota,90,70,75,86,77,71,82,87,85,68,61,61,66,33,100,25,78,66,69,67,80,50,62,40,66,50,50,60,64,66,57,60,50,80,20,50,40,61,60,66,70,50,50,76,33,66,50,20,66,50,66,60,50,66,50,40,50,71,100,33,57,66
Mississippi,96,97,66,86,77,100,91,100,85,78,61,76,71,66,50,25,78,33,69,74,60,75,81,40,50,50,100,60,100,66,71,40,100,60,20,25,80,76,80,83,43,50,50,100,33,100,50,0,100,0,83,46,66,66,100,100,75,64,100,33,100,55
Missouri,90,79,75,88,77,78,82,74,80,73,61,61,66,33,50,25,77,66,73,74,60,75,75,60,66,50,100,60,78,66,71,40,50,40,20,50,60,61,80,75,63,50,50,82,66,66,50,20,77,50,66,59,66,58,50,60,75,64,80,66,71,77
Montana,79,74,83,80,88,78,85,70,66,68,100,53,80,0,50,0,77,66,56,61,100,50,62,40,66,0,100,60,50,66,57,40,0,60,0,50,40,38,90,75,78,0,0,76,0,66,0,40,88,0,83,52,50,58,100,40,75,42,80,0,57,77
Nebraska,76,83,80,91,88,81,85,78,76,68,83,61,76,66,75,25,88,66,78,80,80,50,75,20,50,50,100,40,64,66,57,40,50,40,20,25,100,53,70,66,73,50,50,76,33,100,50,20,66,50,66,56,50,50,50,80,75,50,60,66,57,66
Nevada,81,74,75,73,66,78,70,72,76,68,55,61,57,33,50,25,78,33,78,74,80,50,81,60,66,50,50,40,85,66,57,40,50,60,20,50,60,61,60,50,43,50,50,64,66,33,50,0,88,50,50,58,50,50,50,60,50,50,100,66,57,55
New Hampshire,80,73,83,76,77,71,76,63,71,68,66,53,76,0,50,25,84,33,60,61,80,25,62,20,50,0,100,80,64,66,71,60,0,60,40,50,60,61,80,66,87,50,0,58,33,66,50,20,44,100,50,57,50,66,0,60,50,28,60,66,42,77
New Jersey,85,76,63,75,72,71,64,63,61,68,61,53,66,33,50,25,82,33,60,54,60,50,68,40,50,50,50,60,78,66,57,40,50,80,20,50,40,53,60,50,53,50,50,70,33,66,50,20,66,50,50,56,50,50,50,60,50,42,80,66,57,55
